Report Date,Week Ending Date,Health Region,Vaccination Status,Infections,Hospitalizations,Deaths,Population Denominator
9/24/21,4/24/21,Southwest Region,Unvaccinated,1050,70,27,4602741
9/24/21,1/30/21,Eastern Region,Partially Vaccinated,228,19,13,637549
9/24/21,3/20/21,Northwest Region,Unvaccinated,1271,17,6,6353726
9/24/21,5/8/21,Northern Region,Unvaccinated,809,20,7,4250779
9/24/21,7/31/21,Eastern Region,Partially Vaccinated,112,4,0,564867
9/24/21,4/24/21,Eastern Region,Unvaccinated,1476,60,16,4602741
9/24/21,7/24/21,Northwest Region,Partially Vaccinated,35,0,0,539617
9/24/21,2/20/21,Northwest Region,Fully Vaccinated,8,0,0,526245
9/24/21,4/3/21,Southwest Region,Partially Vaccinated,96,15,4,1289603
9/24/21,8/14/21,Eastern Region,Fully Vaccinated,690,28,9,4740650
9/24/21,8/7/21,Central Region,Partially Vaccinated,121,2,0,599819
9/24/21,6/12/21,Northern Region,Unvaccinated,221,11,2,3662077
9/24/21,3/20/21,Eastern Region,Partially Vaccinated,131,16,5,965502
9/24/21,6/12/21,Eastern Region,Partially Vaccinated,11,0,1,637587
9/24/21,7/24/21,Southwest Region,Unvaccinated,780,63,11,3376677
9/24/21,5/8/21,Central Region,Partially Vaccinated,62,5,2,970053
9/24/21,5/29/21,Northern Region,Unvaccinated,256,14,1,3803879
9/24/21,6/26/21,Northern Region,Partially Vaccinated,27,1,0,528613
9/24/21,8/14/21,Eastern Region,Unvaccinated,3684,219,43,3169523
9/24/21,7/17/21,Northern Region,Fully Vaccinated,274,5,0,4579164
9/24/21,4/10/21,Northern Region,Fully Vaccinated,47,1,0,2046658
9/24/21,6/26/21,Central Region,Partially Vaccinated,20,0,0,528613
9/24/21,2/20/21,Southwest Region,Unvaccinated,1704,71,13,7362549
9/24/21,2/13/21,Eastern Region,Partially Vaccinated,241,16,8,698026
9/24/21,6/5/21,Northern Region,Partially Vaccinated,30,0,0,730034
9/24/21,9/18/21,Central Region,Unvaccinated,3359,29,2,2872959
9/24/21,2/20/21,Central Region,Partially Vaccinated,91,11,9,646725
9/24/21,1/23/21,Northern Region,Unvaccinated,5982,165,65,8006973
9/24/21,3/6/21,Eastern Region,Partially Vaccinated,90,15,5,693621
9/24/21,7/31/21,Northern Region,Partially Vaccinated,105,2,0,564867
9/24/21,3/27/21,Eastern Region,Unvaccinated,2391,81,17,5894090
9/24/21,9/18/21,Central Region,Fully Vaccinated,277,11,1,5021157
9/24/21,7/17/21,Southwest Region,Unvaccinated,446,34,7,3428473
9/24/21,2/20/21,Northwest Region,Unvaccinated,2280,51,17,7362549
9/24/21,2/20/21,Eastern Region,Partially Vaccinated,189,17,5,646725
9/24/21,6/12/21,Southwest Region,Unvaccinated,180,19,2,3662077
9/24/21,7/24/21,Southwest Region,Partially Vaccinated,33,2,0,539617
9/24/21,9/11/21,Central Region,Fully Vaccinated,321,16,2,4964222
9/24/21,6/12/21,Northern Region,Fully Vaccinated,35,0,0,4235855
9/24/21,2/27/21,Central Region,Unvaccinated,1951,54,19,7189262
9/24/21,9/18/21,Eastern Region,Unvaccinated,4149,174,4,2872959
9/24/21,7/10/21,Eastern Region,Unvaccinated,496,27,6,3471480
9/24/21,8/7/21,Central Region,Unvaccinated,1748,29,19,3239711
9/24/21,7/24/21,Northern Region,Partially Vaccinated,76,4,0,539617
9/24/21,2/20/21,Northern Region,Partially Vaccinated,90,12,5,646725
9/24/21,4/24/21,Northern Region,Unvaccinated,1437,37,5,4602741
9/24/21,7/3/21,Northern Region,Unvaccinated,155,4,0,3510668
9/24/21,3/20/21,Northwest Region,Fully Vaccinated,16,1,0,1216291
9/24/21,7/31/21,Northwest Region,Unvaccinated,930,26,9,3313414
9/24/21,8/21/21,Eastern Region,Partially Vaccinated,354,12,6,638793
9/24/21,6/12/21,Southwest Region,Fully Vaccinated,26,3,0,4235855
9/24/21,8/21/21,Eastern Region,Unvaccinated,4249,228,38,3104125
9/24/21,9/4/21,Northwest Region,Unvaccinated,4008,98,19,2978072
9/24/21,9/4/21,Northwest Region,Partially Vaccinated,262,5,3,645608
9/24/21,3/27/21,Southwest Region,Unvaccinated,1297,71,12,5894090
9/24/21,4/17/21,Eastern Region,Partially Vaccinated,201,15,6,1293027
9/24/21,1/23/21,Central Region,Partially Vaccinated,224,11,14,445402
9/24/21,5/22/21,Northwest Region,Fully Vaccinated,38,3,0,3802817
9/24/21,6/12/21,Central Region,Partially Vaccinated,19,2,0,637587
9/24/21,4/10/21,Eastern Region,Fully Vaccinated,44,11,1,2046658
9/24/21,5/29/21,Northwest Region,Fully Vaccinated,22,6,0,3953355
9/24/21,5/8/21,Northwest Region,Fully Vaccinated,42,4,1,3314687
9/24/21,1/30/21,Central Region,Fully Vaccinated,2,0,0,141767
9/24/21,7/10/21,Eastern Region,Partially Vaccinated,17,0,0,531387
9/24/21,2/27/21,Central Region,Fully Vaccinated,9,1,1,746880
9/24/21,2/6/21,Northwest Region,Fully Vaccinated,1,0,0,230152
9/24/21,4/3/21,Eastern Region,Fully Vaccinated,20,2,0,1737620
9/24/21,1/30/21,Northwest Region,Unvaccinated,3531,90,46,7756203
9/24/21,3/20/21,Southwest Region,Unvaccinated,1207,63,28,6353726
9/24/21,3/20/21,Northern Region,Partially Vaccinated,154,12,1,965502
9/24/21,9/4/21,Eastern Region,Unvaccinated,4569,274,27,2978072
9/24/21,7/24/21,Northwest Region,Unvaccinated,584,9,2,3376677
9/24/21,2/6/21,Northern Region,Unvaccinated,3933,75,25,7589371
9/24/21,3/6/21,Northern Region,Unvaccinated,2305,55,23,6927277
9/24/21,9/4/21,Central Region,Partially Vaccinated,256,5,0,645608
9/24/21,5/22/21,Northwest Region,Unvaccinated,469,29,7,3924838
9/24/21,5/1/21,Northern Region,Partially Vaccinated,222,7,1,1104665
9/24/21,6/26/21,Central Region,Unvaccinated,194,11,4,3780584
9/24/21,9/18/21,Northern Region,Fully Vaccinated,548,5,0,5021157
9/24/21,5/22/21,Central Region,Fully Vaccinated,11,1,2,3802817
9/24/21,9/4/21,Southwest Region,Partially Vaccinated,399,8,2,645608
9/24/21,8/7/21,Eastern Region,Fully Vaccinated,533,21,4,4695989
9/24/21,1/30/21,Southwest Region,Unvaccinated,3330,132,61,7756203
9/24/21,4/17/21,Northwest Region,Fully Vaccinated,30,2,1,2382603
9/24/21,8/21/21,Central Region,Fully Vaccinated,650,19,3,4792601
9/24/21,3/13/21,Northern Region,Fully Vaccinated,14,1,0,1081329
9/24/21,8/21/21,Southwest Region,Fully Vaccinated,668,45,13,4792601
9/24/21,5/15/21,Southwest Region,Unvaccinated,677,55,12,4115664
9/24/21,6/26/21,Southwest Region,Fully Vaccinated,25,2,1,4226322
9/24/21,4/24/21,Central Region,Partially Vaccinated,103,6,1,1225257
9/24/21,4/17/21,Southwest Region,Unvaccinated,1287,97,18,4859889
9/24/21,9/18/21,Southwest Region,Unvaccinated,4653,57,9,2872959
9/24/21,4/24/21,Northwest Region,Unvaccinated,1161,35,10,4602741
9/24/21,7/17/21,Northwest Region,Partially Vaccinated,26,2,0,527882
9/24/21,3/6/21,Northwest Region,Unvaccinated,1198,26,21,6927277
9/24/21,5/29/21,Northwest Region,Unvaccinated,312,20,5,3803879
9/24/21,2/6/21,Northern Region,Fully Vaccinated,0,0,0,230152
9/24/21,5/1/21,Central Region,Fully Vaccinated,27,5,1,3042614
9/24/21,8/7/21,Northern Region,Fully Vaccinated,688,13,1,4695989
9/24/21,3/13/21,Southwest Region,Unvaccinated,1302,52,55,6649199
9/24/21,3/6/21,Northwest Region,Partially Vaccinated,49,2,2,693621
9/24/21,7/31/21,Southwest Region,Unvaccinated,1254,57,23,3313414
9/24/21,3/6/21,Central Region,Unvaccinated,1840,65,42,6927277
9/24/21,9/11/21,Eastern Region,Partially Vaccinated,352,23,1,645675
